абазия | abasia, ае / | abaziya
Дюринга болезнь | dermatitis herpetiformis (Duhring) | Dyuringin keseli
евнухоидизм | eunochoidismus, i m | yewnuhoidizm; tohumlygyn gipofunksiyasy
евстахиева труба | tuba auditiva | yewstahiyew; e;jidi§ turbasj
евстахиит | eustachitis, tidis f | yewstahiit; tubotit
единичный | sporadicus, a, um | sporadiki; yeke; yeke tak; seyrek du§yan
едкий | corrosivus, a, um | iyiji; karroziw
ежедневно | in die | gunde; her gun
ежедневный | quotidianus, a, um | her gunki
естественный | nativus, genuinus, a, um | tebigy
жаба брюшная | angina abdominalis | abdominal; garyn anginasy
жаба грудная | angina pectoralis | yurek-damak anginasy; agyrysy
жажда | sitis, is f | suwsama; tesnelik
- патологическая | polydipsia, ae f | patolokigi kesel zerarly suvvsama
жалобы | molestia, ae f | arzalar; §ikayatlar
Жане, метод, или промывание по | Janeti methodus | Zant usuly boyunya yuwmak
жаропонижающие лекарственные средства | antipyretica (remedia) n/pl | gyzgyny peseldyan derman seri§deleri
жгучая боль | causalgia, ae f | kauzalgiya; guyyli agyrmak; ot basylan yaly agyry
жевание | masticatio, onis f | yeyneme
жевательные тиски | trismus, / /и | yeyneway my§salarynyn yekilmesi; gysylmasy
жевательный | masticatorius, a, um | yeynewayly
желатинозный | gelatinosus, a, um | zelatinoz
железы | glandulae, f/pl | mazier
- апокринные | glandulae apocrinales | apokrin mazieri
- бартолиновы | glandulae vestibulares majores | bartolin mazleri
- бул ьбоуретальная или железа Купера | glandula bulbourethralis | bulbouretal ya-da Kuperin mazleri
железа зобная (вилочковая или грудная внутренняя) | thymus, i m | timus; galkan gornti§li maz
железа Вирхова | Virchov signum | Wirhowvn mazi
- каротидная | glomus caroticuni | karotid mazi
- либеркюновы кишечные | glandulae intestinales | iyeganin liberkyun mazi
- Литтре | glandulae urethrales | Littranin mazi
- мейбомиевы | glandulae tartales | meybomiyew mazi
- молочная | glandulae mamniaria | cuyt mazi
- надпочечная | glandulae adrenalis glandulae suprarenalis | bowrek usti maz
- околол шная | glandulae parotis | gulag asty maz
околощитовидные, паратиреоидные | glandulae parathyreoideales | paratireoid mazi
- поджелудочная | pancreas, atis n | a§gazanasty maz
- подчелюстная | glandulae submandibularis | eneg asty maz
- потовые | glandulae sudoriferae | deri mazleri
- подъязычная | glandula sublingualis | dilasty maz
- женская половая | ovarium, i n | ayalyn tohumlyk mazi
- мужская половая | testis, is m | erkegin tohumlyk m^/i
- предстательная | prostata, ae f | prostata; erkeklik jyns mazi
- ресничные или цилиарные | glandulae ciliares | kirpik ya-da siliar mazleri
- сальные | glandulae sebaceae | yag mazleri
- слезная | glandula lacrimalis | gozya§ mazleri
- слизистые | glandulae mucosae | nem mazleri
- слюнные | glandulae salivales | tuykulik mazleri
- уретральные, или парауретральные; железы Литтре | glandulae urethrales | uretral; parauretral mazleri; Littranin mazleri
- церуминозные | glandulae ceruminosae | seruminoz; gulak guty mazleri
- щитовидная | glandula thyreoidea | galkan gornusli maz
- отсутствие щитовидной железы | athyreosis, is f | galkan gornti§li mazin yoklugy
- эндокринные | glandulae sine ductibus | endokrin mazleri
железистый | glandularis, e; ferruginosus, a, | mazli
- рак | adenocarcinoma, atus n | adenokarsinoma; mazli rak
желоб | semicanalis, is f | ternaw
желобок | sulcus, i m | ternawjyk
желтая лихорадка | febris flava | saraldyan gyzdyrma
желток, желток яичный | vitellus, vitellus ovi | yumurtganyn sarysy
желточный | vitellinus, a, um | yumurtganyn sarysy hilli
желтуха | icterus, I т | sarygetirme
- гемолитическая | icterus haemolyticus, anaemia haemolytica | gemolitiki sarygetirme; gemolitiki anemiya
- семейная | anaemia microsphaero cytica | ma§gala anemiyasy; sarygetirmesi
- экстрагепатальная. или гематогенная | icterus, i m | ekstragepatal ya-da gematogen sarygetirme
- гомологическая сывороточная, или желтуха инокуляционная „ | serohepatitis, tidis f | serogepatit; gepatit В : sanjymdan doreyan gepatit
- инфекционная | Vasilev-Weil morbus | yokany sarygetirme
- легкая степень | subicterus | sarygetirmanin yenil gornii.<ji
- ложная | pseudoicterus, / m | yalan sarygetirme
- механическая, или обтурационная, или субгепатальная | icterus, i m | mehaniki; obturasion ya-da subgepetal sarygetirme
- новорожденных или желтуха физиологическая | icterus neonatorum | taze dogian yagalaryn sarygetirmesi; ya-da fiziologiki sarygetirnip 11 IV
тяжелая | icterus neonatorum gravis | taze doglan yagalaryn agyr sarygetirmesi
- печеночная, или паренхиматозная | icterus, i m | bagyr ya-da parenhimatoz sarygetirmesi
- с темно-оливковым оттенком | icterus melas | goyy yajjvl (uviisginli sarygetirme
- тяжелая, или злокачественная | icterus gravis | agyr; howply sar\getirme
желтушность | subicterus, i m | sarylyk
желтушный | biliosus, a, ian; ictericus, a, m; | saralan; sary
желтый | flavus, a, um; luteus, a, um | sary
желудок | ventriculus, i m | a^gazan; garyn
- вход | cardia, ae f | kardiya; a§gazanyn baslanyan yeri
- зашивание | gastrorrhaphia, ae f | a§gazanv tikmek
- катар | gastritis, tidis f | as; azan katar>
желудочек | ventriculus, i m | garynjvk: madejik
- боковой | ventriculus lateralis | gapdal garynjygy; madejigi
- малый по Павлову | Pavlovi stomachus minor | Pawlow usuly boyunya doredilen kiyi garynjyk
- головного мозга, мозговой желудочек | ventriculus cerebri | kelle beynisinin garynjyklary
- пятый | ventriculus quintus | ba§inji garynjyk
- сердца | ventriculus cordis | ytiregin garynjyklary; madejikleri
- третий | ventriculus tertius | uyiinji garynjyk
- четвертый | ventriculus quartus | dordunji garynjyk
желудочковый | ventricularis, e | garynjyklv
желудочная боль. | gastralgia, ae f | a^gazan agyrysy
-грыжа | gastrocele, ее f | a^gazan ingisi
желудочное кровотечение | gastrorrhagia, ae f | a«jgazandan gan akma
желудочно-кишечный | gastrointestinalis, e | a.'jgazan -iyege...
желудочно-кишечный тракт ' | tractus digestorius | a§gazan-iyege yollary; trakty
желудочно-сердечный | gastrocardialis, e | asgazan-yurek...
желудочно ободочный | gastrocolicus, a, um | e§gazan-yogvn iyege...
желудочно-сердечный синдром | syndromum gastrocardialie | a§gazan-yurek sindromy
желудочный | gastricus, a, um | a^gazan... a^gazana degisili
- сок | succus gastricus | a^gazan siresi
- шов | gastrorrhaphia, ae f | asgazan tikini
желчегонные средства | cholagoga (remedia) n/pl | ot yykaryjy seri^deler
желчеотводящий | biliaris, е | ot akidyan
желчная колика | colica hepatica | otle sanjysy
желчнокаменная болезнь | cholelithiasis, is f | holelitiaz
желчные каналы, протоки | ductus biliferi | ot akyan yollar
желчный | biliaris, e; biliosus, a, um felleus, a, um | (it... otli
- пузырь | vesica fellea | ot haltasy
желчь | bilis, is f | ot
- застой | cholcstatis, is f | holestaz; ot akymynyn durmagy; yoremezligi. togtamagy
жемчужная опухоль | cholesteatoma, atis n | holestiotoma
женоненавистничество | gynaecophobia, ae f | ginekofobiya; ayaly yigrenmeklik; ayaldan gaya durmaklyk
женский, женственный | femininus, a, um | nazik; mylayym; yum§ak
женщина многорожавшая | multipara, ae f | kop yaga dogran ayal
- нерожавшая | nullipara, ae f | ?aga dogurmadyk ayal
- рожающая | parturiens, ntis | (,'aga doguryan ayal
в первый раз | primipara, ae f | ilkinji gezek yaga doguryan ayal
- - второй раз | secundipara, ae f | ikinji gezek yaga doguryan ayal
- рожившая один раз | unipara, ae f | bir gezek yaga dogran ayal
жжение при мочеиспускании | ardor urinae | a g y y ly bu^ukma
Жибера розовый лишай, или болезнь | pityriasis rosea | Ziberin giilgiine demrew keseli
живой | vivus, a, um | diri
живосечение | vivisectio, onis f | viivviseksiya
живот | abdomen, inis 11; venter, ntris f | abdomen; garyn iy
- отвислый, пли отвисший | veutcr propendcnj | sallanyp duran; garyn
животное | animal, alis n | hay nan
живчик | spermatozoon, i n; (spermato zoidum. i n) | sperma; spermaiozoid; erkegin tohuniy (doli)
жидкие среды организма . | humor, oris m | organizmiii suwuk sredalary
жидкий | flu id us, a, um; liquidus, a, um | Nuwuk
жидкость, жидкая среда | fluidum, i //; liquor, oris m | likwor; suwuklyk; suwuk sreda
- амниотическая | liquor aninii | amniotik suwuklygy
- процеженная | colatura, ae f | siiziilen suwuklyk
- семенная | sperma, atis n; semen, inis n | sperma; tohum suwuklygy
- синовиальная | synovia, ae f | sinowial suwuklygy
- спинномозговая, или церебро-спннальная | liquor cerehrospinalis | likwor; onurga-beyni yiliginin suwuklygy
- телесная | humor, oris m | beden suwuklygy
"жизненная сила" | vis vitae (vis vitalis) | «уа.^ауу?: durniu^ giiyji»
жизненный | vitalis, e | wital; diirniu;... ya§ayy§...
жизнеспособный | vitalis, e | ya§ay§a; durmu§a ukvply
жизнь | vita, ae f | ya§ayy§; durmu§
- половая | vita sexualis | jynsy durmu§
жир | adeps. ipis m f | yag
- рыбий, тресковый | oleum jecoris Aselli | balyk yagy
жирный, жировой | adiposus, a, um; oleosus, a, um; corpulentus, a, um; crassus, a, um | yagly
жировая ткань | tela adiposa | yag dokumasy
- подкожная | tela subcutanea adiposa | deriasty yag gatlagy
жировик | lipoma, atis it | lipoma
жировоск | adipocera, ae f | yag mumy
жужжание | susurrus, i ni | wazzyldama; hyzzyldama
журчание | garrulitas, atis f | jugurdama
заболеваемость | morbiditas, atis f | kesellemeklik; keselleyjilik; kesellilik derejesi
заболевание | morbus, i in; affectio, onis f | keselleme; kesel
- аллергическое | allergosis, is f | allergik kesel
